АБХАЗИЯ	AB	ABKHAZIIA	abkhaziia
АБХАЗИЯ	AB	F,[FPBZ	abkhaziia
АБХАЗИЯ	AB	АБХАЗИЯ	abkhaziia
АБХАЗИЯ	AB	ABHAZIJA	abkhaziia
АВСТРАЛИЯ	AU	KANBERRA	avstralija
АВСТРАЛИЯ	AU	AVSTRALIJA	avstralija
АВСТРАЛИЯ	AU	АВСТРАЛИЯ	avstralija
АВСТРАЛИЯ	AU	RFY,THHF	avstralija
АВСТРАЛИЯ	AU	КАНБЕРРА	avstralija
АВСТРАЛИЯ	AU	FDCNHFKBZ	avstralija
АВСТРАЛИЯ	AU	AVSTRALIIA	avstralija
АВСТРИЯ	AT	AVSTRIJA	avstrija
АВСТРИЯ	AT	ВЕНА	avstrija
АВСТРИЯ	AT	FDCNHBZ	avstrija
АВСТРИЯ	AT	AVSTRIIA	avstrija
АВСТРИЯ	AT	DTYF	avstrija
АВСТРИЯ	AT	VENA	avstrija
АВСТРИЯ	AT	АВСТРИЯ	avstrija
АЗЕРБАЙДЖАН	AZ	BAKU	azerbajdzhan
АЗЕРБАЙДЖАН	AZ	БАКУ	azerbajdzhan
АЗЕРБАЙДЖАН	AZ	AZERBAJDZHAN	azerbajdzhan
АЗЕРБАЙДЖАН	AZ	FPTH,FQL	azerbajdzhan
АЗЕРБАЙДЖАН	AZ	FRE	azerbajdzhan
АЗЕРБАЙДЖАН	AZ	АЗЕРБАЙДЖАН	azerbajdzhan
АЗЕРБАЙДЖАН	AZ	AZERBAIDZHAN	azerbajdzhan
АЛБАНИЯ	AL	АЛБАНИЯ	albanija
АЛБАНИЯ	AL	ALBANIJA	albanija
АЛБАНИЯ	AL	FK,FYBZ	albanija
АЛБАНИЯ	AL	ALBANIIA	albanija
АЛЖИР	DZ	АЛЖИР	alzhir
АЛЖИР	DZ	ALZHIR	alzhir
АЛЖИР	DZ	ALZHIR	alzhir
АЛЖИР	DZ	FK	alzhir
АНГИЛЬЯ	AI	ANGIL'JA	angilya
АНГИЛЬЯ	AI	FYUBKMZ	angilya
АНГИЛЬЯ	AI	АНГИЛЬЯ	angilya
АНГИЛЬЯ	AI	ANGILIA	angilya
АНГОЛА	AO	FYUJKF	angola
АНГОЛА	AO	ANGOLA	angola
АНГОЛА	AO	АНГОЛА	angola
АНГОЛА	AO	ANGOLA	angola
АНДОРРА	AD	FYLJHHF	andorra
АНДОРРА	AD	АНДОРРА	andorra
АНДОРРА	AD	ANDORRA	andorra
АНДОРРА	AD	ANDORRA	andorra
АНТИГУА И БАРБУДА	AG	FYNBUEF	antigua
АНТИГУА И БАРБУДА	AG	АНТИГУА И БАРБУДА	antigua
АНТИГУА И БАРБУДА	AG	ANTIGUA I BARBUDA	antigua
АНТИГУА И БАРБУДА	AG	ANTIGUA	antigua
АНТИГУА И БАРБУДА	AG	ANTIGUA I BARBUDA	antigua
АНТИГУА И БАРБУДА	AG	ANTIGUA	antigua
АНТИГУА И БАРБУДА	AG	АНТИГУА	antigua
АНТИГУА И БАРБУДА	AG	FYNBUEF B FH,ELF	antigua
АРГЕНТИНА	AR	BU`ENOS-AJRES	argentina
АРГЕНТИНА	AR	ARGENTINA	argentina
АРГЕНТИНА	AR	АРГЕНТИНА	argentina
АРГЕНТИНА	AR	FHUTYNBYF	argentina
АРГЕНТИНА	AR	БУЭНОС-АЙРЕС	argentina
АРГЕНТИНА	AR	ARGENTINA	argentina
АРГЕНТИНА	AR	BUENOS-AIRES	argentina
АРГЕНТИНА	AR	E'YJC-FQHTC	argentina
АРМЕНИЯ	AM	ARMENIJA	armenija
АРМЕНИЯ	AM	FHVTYBZ	armenija
АРМЕНИЯ	AM	ARMENIIA	armenija
АРМЕНИЯ	AM	АРМЕНИЯ	armenija
АФГАНИСТАН	AF	AFGANISTAN	afganistan
АФГАНИСТАН	AF	AFGANISTAN	afganistan
АФГАНИСТАН	AF	FAUFYBCNFY	afganistan
АФГАНИСТАН	AF	АФГАНИСТАН	afganistan
БАГАМЫ	BS	FUFVS	bagamy
БАГАМЫ	BS	BAGAMY	bagamy
БАГАМЫ	BS	BAGAMSKIE OSTROVA	bagamy
БАГАМЫ	BS	BAGAMY	bagamy
БАГАМЫ	BS	FUFVCRBT JCNHJDF	bagamy
БАГАМЫ	BS	BAGAMSKIE OSTROVA	bagamy
БАГАМЫ	BS	БАГАМСКИЕ ОСТРОВА	bagamy
БАГАМЫ	BS	БАГАМЫ	bagamy
БАНГЛАДЕШ	BD	FYUKFLTI	bangladesh
БАНГЛАДЕШ	BD	БАНГЛАДЕШ	bangladesh
БАНГЛАДЕШ	BD	BANGLADESH	bangladesh
БАНГЛАДЕШ	BD	BANGLADESH	bangladesh
БАРБАДОС	BB	FH,FLJC	barbados
БАРБАДОС	BB	BARBADOS	barbados
БАРБАДОС	BB	BARBADOS	barbados
БАРБАДОС	BB	БАРБАДОС	barbados
БАХРЕЙН	BH	BAHREJN	bahrejn
БАХРЕЙН	BH	BAKHREIN	bahrejn
БАХРЕЙН	BH	БАХРЕЙН	bahrejn
БАХРЕЙН	BH	F[HTQY	bahrejn
БЕЛАРУСЬ	BY	BELARUS'	belarus
БЕЛАРУСЬ	BY	BELARUS	belarus
БЕЛАРУСЬ	BY	БЕЛАРУСЬ	belarus
БЕЛАРУСЬ	BY	TKFHECM	belarus
БЕЛИЗ	BZ	BELIZ	beliz
БЕЛИЗ	BZ	БЕЛИЗ	beliz
БЕЛИЗ	BZ	BELIZ	beliz
БЕЛИЗ	BZ	TKBP	beliz
БЕЛЬГИЯ	BE	TKMUBZ	belgiia
БЕЛЬГИЯ	BE	BELGIIA	belgiia
БЕЛЬГИЯ	BE	БЕЛЬГИЯ	belgiia
БЕЛЬГИЯ	BE	BEL'GIJA	belgiia
БЕНИН	BJ	BENIN	benin
БЕНИН	BJ	BENIN	benin
БЕНИН	BJ	БЕНИН	benin
БЕНИН	BJ	TYBY	benin
БЕРМУДЫ	BM	BERMUDY	bermudy
БЕРМУДЫ	BM	БЕРМУДЫ	bermudy
БЕРМУДЫ	BM	THVELS	bermudy
БЕРМУДЫ	BM	BERMUDY	bermudy
БОЛГАРИЯ	BG	JKUFHBZ	bolgarija
БОЛГАРИЯ	BG	БОЛГАРИЯ	bolgarija
БОЛГАРИЯ	BG	BOLGARIJA	bolgarija
БОЛГАРИЯ	BG	BOLGARIIA	bolgarija
БОЛИВИЯ МНОГОНАЦИОНАЛЬНОЕ ГОСУДАРСТВО	BO	JKBDBZ VYJUJYFWBJYFKMYJT UJCELFHCNDJ	bolivija
БОЛИВИЯ МНОГОНАЦИОНАЛЬНОЕ ГОСУДАРСТВО	BO	BOLIVIJA MNOGONATSIONAL'NOE GOSUDAR	bolivija
БОЛИВИЯ МНОГОНАЦИОНАЛЬНОЕ ГОСУДАРСТВО	BO	BOLIVIIA MNOGONATSIONALNOE GOSUDARSTVO	bolivija
БОЛИВИЯ МНОГОНАЦИОНАЛЬНОЕ ГОСУДАРСТВО	BO	БОЛИВИЯ МНОГОНАЦИОНАЛЬНОЕ ГОСУДАРСТВО	bolivija
БОСНИЯ И ГЕРЦЕГОВИНА	BA	BOSNIJA I GERTSEGOVINA	bosnija
БОСНИЯ И ГЕРЦЕГОВИНА	BA	BOSNIJA-GERTSEGOVINA	bosnija
БОСНИЯ И ГЕРЦЕГОВИНА	BA	BOSNIIA-GERTSEGOVINA	bosnija
БОСНИЯ И ГЕРЦЕГОВИНА	BA	БОСНИЯ И ГЕРЦЕГОВИНА	bosnija
БОСНИЯ И ГЕРЦЕГОВИНА	BA	БОСНИЯ-ГЕРЦЕГОВИНА	bosnija
БОСНИЯ И ГЕРЦЕГОВИНА	BA	JCYBZ B UTHWTUJDBYF	bosnija
БОСНИЯ И ГЕРЦЕГОВИНА	BA	BOSNIIA I GERTSEGOVINA	bosnija
БОСНИЯ И ГЕРЦЕГОВИНА	BA	JCYBZ-UTHWTUJDBYF	bosnija
БОТСВАНА	BW	JNCDFYF	botsvana
БОТСВАНА	BW	BOTSVANA	botsvana
БОТСВАНА	BW	БОТСВАНА	botsvana
БОТСВАНА	BW	BOTSVANA	botsvana
БРАЗИЛИЯ	BR	HFPBKBF	brazilija
БРАЗИЛИЯ	BR	BRAZILIJA	brazilija
БРАЗИЛИЯ	BR	БРАЗИЛИА	brazilija
БРАЗИЛИЯ	BR	БРАЗИЛИЯ	brazilija
БРАЗИЛИЯ	BR	BRAZILIA	brazilija
БРАЗИЛИЯ	BR	HFPBKBZ	brazilija
БРАЗИЛИЯ	BR	BRAZILIIA	brazilija
БРУНЕЙ-ДАРУССАЛАМ	BN	БРУНЕЙ	brunei
БРУНЕЙ-ДАРУССАЛАМ	BN	БРУНЕЙ-ДАРУССАЛАМ	brunei
БРУНЕЙ-ДАРУССАЛАМ	BN	BRUNEI	brunei
БРУНЕЙ-ДАРУССАЛАМ	BN	BRUNEJ	brunei
БРУНЕЙ-ДАРУССАЛАМ	BN	HEYTQ	brunei
БРУНЕЙ-ДАРУССАЛАМ	BN	BRUNEI-DARUSSALAM	brunei
БРУНЕЙ-ДАРУССАЛАМ	BN	HEYTQ-LFHECCFKFV	brunei
БРУНЕЙ-ДАРУССАЛАМ	BN	BRUNEJ-DARUSSALAM	brunei
БУРКИНА-ФАСО	BF	BURKINA-FASO	burkina-faso
БУРКИНА-ФАСО	BF	BURKINA FASSO	burkina-faso
БУРКИНА-ФАСО	BF	EHRBYF-AFCJ	burkina-faso
БУРКИНА-ФАСО	BF	BURKINA FASSO	burkina-faso
БУРКИНА-ФАСО	BF	BURKINA-FASO	burkina-faso
БУРКИНА-ФАСО	BF	EHRBYF AFCCJ	burkina-faso
БУРКИНА-ФАСО	BF	БУРКИНА-ФАСО	burkina-faso
БУРКИНА-ФАСО	BF	БУРКИНА ФАССО	burkina-faso
БУРУНДИ	BI	EHEYLB	burundi
БУРУНДИ	BI	BURUNDI	burundi
БУРУНДИ	BI	БУРУНДИ	burundi
БУРУНДИ	BI	BURUNDI	burundi
БУТАН	BT	ENFY	butan
БУТАН	BT	BUTAN	butan
БУТАН	BT	БУТАН	butan
БУТАН	BT	BUTAN	butan
ВАНУАТУ	VU	ВАНУАТУ	vanuatu
ВАНУАТУ	VU	DFYEFNE	vanuatu
